mae,smape,rmse,n,skill,series,key,order,last_price,test_var
0.0,0.0,0.0,60,,fuel_diesel,Andhra Pradesh,"(1, 1, 1)",95.15,0.0
0.0,0.0,0.0,60,,fuel_diesel,Delhi,"(1, 1, 1)",87.67,0.0
0.0,0.0,0.0,60,,fuel_diesel,Gujarat,"(1, 1, 1)",86.95,0.0
0.0,0.0,0.0,60,,fuel_diesel,Haryana,"(1, 1, 1)",89.45,0.0
0.0,0.0,0.0,60,,fuel_diesel,Karnataka,"(1, 1, 1)",91.65,0.0
0.0,0.0,0.0,60,,fuel_diesel,Madhya Pradesh,"(1, 1, 1)",91.95,0.0
0.0,0.0,0.0,60,,fuel_diesel,Maharashtra,"(1, 1, 1)",90.03,0.0
0.0,0.0,0.0,60,,fuel_diesel,Punjab,"(1, 1, 1)",90.05,0.0
0.0,0.0,0.0,60,,fuel_diesel,Rajasthan,"(1, 1, 1)",92.85,0.0
0.0,0.0,0.0,60,,fuel_diesel,Tamil Nadu,"(1, 1, 1)",92.39,0.0
0.0,0.0,0.0,60,,fuel_diesel,Telangana,"(1, 1, 1)",93.95,0.0
0.0,0.0,0.0,60,,fuel_diesel,Uttar Pradesh,"(1, 1, 1)",88.65,0.0
0.0,0.0,0.0,60,,fuel_diesel,West Bengal,"(1, 1, 1)",92.02,0.0
31.047932969996417,150.93558712538643,70.0808531498538,26,-0.07891774554919384,weather_precip,HUB01,"(1, 0, 1)x(1, 1, 0, 52)",,
1.2457855196300567,4.01576551019032,1.6440022034399362,26,0.17845414129112736,weather_temp,HUB01,"(1, 0, 1)x(1, 1, 0, 52)",,
15.771632590890713,136.04372942724027,25.422935443537092,26,0.036959963919308336,weather_precip,HUB02,"(1, 0, 1)x(1, 1, 0, 52)",,
1.3624261383958394,4.7052185376148925,1.5716371572895125,26,0.098376254088688,weather_temp,HUB02,"(1, 0, 1)x(1, 1, 0, 52)",,
504.8186849781178,198.3451911131956,668.0746953611028,26,-26.023442061830476,weather_precip,HUB03,"(1, 0, 1)x(1, 1, 0, 52)",,
1.6624425843379904,5.366834169797329,2.2020126605216723,26,0.07070012690192673,weather_temp,HUB03,"(1, 0, 1)x(1, 1, 0, 52)",,
32.7565888922805,184.36899580100342,91.6223573460659,26,-0.002674018365073083,weather_precip,HUB04,"(1, 0, 1)x(1, 1, 0, 52)",,
1.6050771344313213,5.337673242694486,2.2122122302080385,26,0.10806359432140733,weather_temp,HUB04,"(1, 0, 1)x(1, 1, 0, 52)",,
20.924004038809095,155.3496605189307,45.728196153012284,26,0.008702432563709173,weather_precip,HUB05,"(1, 0, 1)x(1, 1, 0, 52)",,
1.3910492945115829,5.245862236142082,1.8388042548517445,26,0.15384033555779408,weather_temp,HUB05,"(1, 0, 1)x(1, 1, 0, 52)",,
14.453687914468293,116.69691300208069,26.99219093138806,26,0.2627116229621823,weather_precip,HUB06,"(1, 0, 1)x(1, 1, 0, 52)",,
